Team	|	Lineup
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Nick Richards', 'Cody Martin', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Mason Plumlee', 'Cody Martin', 'Terry Rozier')
CHA		|	('Kelly Oubre Jr.', 'Miles Bridges', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Miles Bridges', 'Gordon Hayward', 'Mason Plumlee', 'Cody Martin', 'Terry Rozier')
CHA		|	('Cody Martin', 'Miles Bridges', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Miles Bridges', 'P.J. Washington', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Miles Bridges', 'P.J. Washington', 'Mason Plumlee', 'LaMelo Ball', 'Terry Rozier')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Coby White')
CHI		|	('Coby White', 'Nikola Vucevic', 'DeMar DeRozan', 'Zach LaVine', 'Patrick Williams')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Alex Caruso', 'Ayo Dosunmu')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Ayo Dosunmu')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Ayo Dosunmu', 'Alex Caruso')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Alex Caruso')
CHI		|	('DeMar DeRozan', 'Javonte Green', 'Nikola Vucevic', 'Zach LaVine', 'Alex Caruso')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Ayo Dosunmu', 'Zach LaVine')
CHI		|	('Alex Caruso', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Ayo Dosunmu')
CHI		|	('Zach LaVine', 'Patrick Williams', 'Nikola Vucevic', 'Coby White', 'Ayo Dosunmu')
CHI		|	('DeMar DeRozan', 'Alex Caruso', 'Nikola Vucevic', 'Zach LaVine', 'Patrick Beverley')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Patrick Beverley')
CHI		|	('Zach LaVine', 'DeMar DeRozan', 'Nikola Vucevic', 'Patrick Beverley', 'Ayo Dosunmu')
CHI		|	('Alex Caruso', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Patrick Beverley')
CHI		|	('Alex Caruso', 'Patrick Williams', 'Nikola Vucevic', 'Coby White', 'Ayo Dosunmu')
CHI		|	('DeMar DeRozan', 'Patrick Williams', 'Nikola Vucevic', 'Zach LaVine', 'Lonzo Ball')
CHI		|	('Javonte Green', 'DeMar DeRozan', 'Nikola Vucevic', 'Zach LaVine', 'Lonzo Ball')
CHI		|	('Javonte Green', 'DeMar DeRozan', 'Tony Bradley', 'Zach LaVine', 'Lonzo Ball')
CHI		|	('Alex Caruso', 'DeMar DeRozan', 'Tony Bradley', 'Zach LaVine', 'Lonzo Ball')
CHI		|	('Zach LaVine', 'DeMar DeRozan', 'Tony Bradley', 'Coby White', 'Lonzo Ball')
CHI		|	('Zach LaVine', 'DeMar DeRozan', 'Nikola Vucevic', 'Javonte Green', 'Lonzo Ball')
CHI		|	('DeMar DeRozan', 'Javonte Green', 'Nikola Vucevic', 'Lonzo Ball', 'Zach LaVine')
CHI		|	('Alex Caruso', 'DeMar DeRozan', 'Nikola Vucevic', 'Zach LaVine', 'Lonzo Ball')
CHI		|	('Zach LaVine', 'Derrick Jones Jr.', 'Nikola Vucevic', 'Ayo Dosunmu', 'Lonzo Ball')
